Liên kết gốc,Sub_id1,Sub_id2,Sub_id3,Sub_id4,Sub_id5,Liên kết chuyển đổi,Lí do thất bại
https://s.shopee.vn/AUnqJmaBK2,dogiadung,,,,,https://s.shopee.vn/3fxWUZVFSC,
https://s.shopee.vn/AUnpSylWMp,dogiadung,,,,,https://s.shopee.vn/3qGwgsUc7F,
https://s.shopee.vn/10wk1uZwt3,dogiadung,,,,,https://s.shopee.vn/3LKg5xWW8A,
